Step,Epsilon,Reward,NN_Loss
335,0.9386131461280852,-0.0,2.927004814147949
336,0.9384354412699377,-2.0,4.107816696166992
337,0.9382577719492081,-21.0,3.5479884147644043
338,0.9380801381587894,-25.0,2.32283353805542
339,0.9379025398915763,-0.0,3.485201358795166
340,0.937724977140465,-0.0,3.55191707611084
341,0.9375474498983528,-0.0,3.4160408973693848
342,0.937369958158139,-4.0,2.5277352333068848
343,0.9371925019127233,-0.0,3.035999298095703
344,0.9370150811550079,-0.0,3.743441581726074
345,0.9368376958778959,-0.0,3.1958162784576416
346,0.9366603460742918,-2.0,2.2800774574279785
347,0.9364830317371018,-0.0,2.163651943206787
348,0.9363057528592331,-2.0,3.782475233078003
349,0.9361285094335946,-14.0,3.379925489425659
350,0.9359513014530967,-0.0,4.789622783660889
351,0.9357741289106508,-4.0,4.110745429992676
352,0.9355969917991703,-24.0,3.240098476409912
353,0.9354198901115696,-44.0,4.0881147384643555
354,0.9352428238407645,-0.0,2.9167447090148926
355,0.9350657929796725,-0.0,4.960378646850586
356,0.9348887975212126,-0.0,4.073647499084473
357,0.9347118374583044,-0.0,2.9665908813476562
358,0.9345349127838699,-11.0,4.820380687713623
359,0.9343580234908321,-31.0,2.332350254058838
360,0.9341811695721153,-2.0,4.240010738372803
361,0.9340043510206455,-0.0,5.022185802459717
362,0.9338275678293497,-38.0,6.109109878540039
363,0.9336508199911568,-98.0,5.125666618347168
364,0.9334741074989968,-0.0,4.143106937408447
365,0.9332974303458013,-7.0,3.273109197616577
366,0.9331207885245031,-27.0,3.0910754203796387
367,0.9329441820280365,-14.0,2.991696357727051
368,0.9327676108493373,-0.0,4.216601371765137
369,0.9325910749813427,-0.0,4.380268096923828
370,0.9324145744169912,-0.0,3.270829916000366
371,0.9322381091492229,-0.0,3.523484230041504
372,0.9320616791709789,-15.0,4.572021961212158
373,0.9318852844752022,-33.0,3.90984845161438
374,0.9317089250548372,-0.0,3.831310749053955
375,0.9315326009028291,-0.0,3.609257936477661
376,0.9313563120121252,-22.0,3.6513278484344482
377,0.931180058375674,-9.0,3.8050925731658936
378,0.9310038399864252,-33.0,5.298871040344238
379,0.93082765683733,-49.0,4.5717644691467285
380,0.9306515089213414,-0.0,4.5978569984436035
381,0.9304753962314132,-0.0,2.2825870513916016
382,0.9302993187605009,-0.0,4.986082077026367
383,0.9301232765015615,-7.0,1.8929533958435059
384,0.9299472694475532,-29.0,4.8668599128723145
385,0.929771297591436,-13.0,4.551630020141602
386,0.9295953609261706,-66.0,4.1878204345703125
387,0.9294194594447198,-126.0,2.9595255851745605
388,0.9292435931400476,-208.0,4.7206878662109375
389,0.9290677620051192,-0.0,4.518059730529785
390,0.9288919660329014,-4.0,3.447497606277466
391,0.9287162052163623,-0.0,3.7327582836151123
392,0.9285404795484716,-0.0,3.176051616668701
393,0.9283647890222002,-0.0,3.994464874267578
394,0.9281891336305205,-11.0,2.4901468753814697
395,0.928013513366406,-9.0,2.4134678840637207
396,0.9278379282228324,-33.0,3.520533561706543
397,0.927662378192776,-0.0,4.954268455505371
398,0.9274868632692149,-18.0,2.6643481254577637
399,0.9273113834451284,-0.0,4.928695201873779
400,0.9271359387134974,-6.0,4.866371154785156
401,0.926960529067304,-26.0,4.6011881828308105
402,0.9267851544995319,-46.0,5.0474348068237305
